Date,"Staff Name",Role,Checklist,"Total Items",Completed,"Completion %",Status,"Submitted At"
"16 Feb 2026",—,—,—,2,0,0%,Pending,—
"16 Feb 2026",—,—,—,2,0,0%,Pending,—
"16 Feb 2026",—,—,—,3,0,0%,Pending,—
"16 Feb 2026",—,—,—,3,0,0%,Pending,—
"16 Feb 2026",—,—,—,5,0,0%,Pending,—
"16 Feb 2026",—,—,—,5,0,0%,Pending,—
"16 Feb 2026",—,—,—,5,0,0%,Pending,—
"16 Feb 2026",—,—,—,3,0,0%,Pending,—
"16 Feb 2026",—,—,—,3,0,0%,Pending,—
"16 Feb 2026",—,—,—,2,0,0%,Pending,—
"16 Feb 2026",—,—,—,2,0,0%,Pending,—
"16 Feb 2026",—,—,—,2,0,0%,Pending,—
"16 Feb 2026",—,—,—,2,0,0%,Pending,—
"16 Feb 2026",—,—,—,2,0,0%,Pending,—
"16 Feb 2026",—,—,—,2,0,0%,Pending,—
"17 Feb 2026",—,—,—,2,0,0%,Pending,—
"17 Feb 2026",—,—,—,2,0,0%,Pending,—
"17 Feb 2026",—,—,—,3,0,0%,Pending,—
"17 Feb 2026",—,—,—,3,0,0%,Pending,—
"17 Feb 2026",—,—,—,5,0,0%,Pending,—
"17 Feb 2026",—,—,—,5,0,0%,Pending,—
"17 Feb 2026",—,—,—,5,0,0%,Pending,—
"17 Feb 2026",—,—,—,3,0,0%,Pending,—
"17 Feb 2026",—,—,—,3,0,0%,Pending,—
"17 Feb 2026",—,—,—,2,0,0%,Pending,—
"17 Feb 2026",—,—,—,2,0,0%,Pending,—
"17 Feb 2026",—,—,—,2,0,0%,Pending,—
"17 Feb 2026",—,—,—,2,0,0%,Pending,—
"17 Feb 2026",—,—,—,2,0,0%,Pending,—
"17 Feb 2026",—,—,—,2,0,0%,Pending,—
"18 Feb 2026",—,—,—,2,0,0%,Pending,—
"18 Feb 2026",—,—,—,2,0,0%,Pending,—
"18 Feb 2026",—,—,—,3,0,0%,Pending,—
"18 Feb 2026",—,—,—,3,0,0%,Pending,—
"18 Feb 2026",—,—,—,5,0,0%,Pending,—
"18 Feb 2026",—,—,—,5,0,0%,Pending,—
"18 Feb 2026",—,—,—,5,0,0%,Pending,—
"18 Feb 2026",—,—,—,3,0,0%,Pending,—
"18 Feb 2026",—,—,—,3,0,0%,Pending,—
"18 Feb 2026",—,—,—,2,0,0%,Pending,—
"18 Feb 2026",—,—,—,2,0,0%,Pending,—
"18 Feb 2026",—,—,—,2,0,0%,Pending,—
"18 Feb 2026",—,—,—,2,0,0%,Pending,—
"18 Feb 2026",—,—,—,2,0,0%,Pending,—
"18 Feb 2026",—,—,—,2,0,0%,Pending,—
"18 Feb 2026",—,—,—,2,0,0%,Pending,—
"19 Feb 2026",—,—,—,2,0,0%,Pending,—
"19 Feb 2026",—,—,—,2,0,0%,Pending,—
"19 Feb 2026",—,—,—,3,0,0%,Pending,—
"19 Feb 2026",—,—,—,3,0,0%,Pending,—
"19 Feb 2026",—,—,—,5,0,0%,Pending,—
"19 Feb 2026",—,—,—,5,0,0%,Pending,—
"19 Feb 2026",—,—,—,5,0,0%,Pending,—
"19 Feb 2026",—,—,—,3,0,0%,Pending,—
"19 Feb 2026",—,—,—,3,0,0%,Pending,—
"19 Feb 2026",—,—,—,2,0,0%,Pending,—
"19 Feb 2026",—,—,—,2,0,0%,Pending,—
"19 Feb 2026",—,—,—,2,0,0%,Pending,—
"19 Feb 2026",—,—,—,2,0,0%,Pending,—
"19 Feb 2026",—,—,—,2,0,0%,Pending,—
"19 Feb 2026",—,—,—,2,0,0%,Pending,—
"20 Feb 2026",—,—,—,2,0,0%,Pending,—
"20 Feb 2026",—,—,—,2,0,0%,Pending,—
"20 Feb 2026",—,—,—,3,0,0%,Pending,—
"20 Feb 2026",—,—,—,3,0,0%,Pending,—
"20 Feb 2026",—,—,—,5,0,0%,Pending,—
"20 Feb 2026",—,—,—,5,0,0%,Pending,—
"20 Feb 2026",—,—,—,5,0,0%,Pending,—
"20 Feb 2026",—,—,—,3,0,0%,Pending,—
"20 Feb 2026",—,—,—,3,0,0%,Pending,—
"20 Feb 2026",—,—,—,2,0,0%,Pending,—
"20 Feb 2026",—,—,—,2,0,0%,Pending,—
"20 Feb 2026",—,—,—,2,0,0%,Pending,—
"20 Feb 2026",—,—,—,2,0,0%,Pending,—
"20 Feb 2026",—,—,—,2,0,0%,Pending,—
