Tenant,Hostel,"Gender Mode","Total Beds",Occupied,Available,"Occupancy %"
—,"tulip boys hostel",Boys,0,0,0,0%
"Pimpri Chinchinwad University","tulip boys hostel",Boys,80,1,79,1.3%
"test college",test,Boys,0,0,0,0%
—,"marimallapa ",Boys,0,0,0,0%
gangotri,"gng hostel",Boys,0,0,0,0%
dfvdfvefvervev,wee,Boys,0,0,0,0%
—,hostetest,Boys,0,0,0,0%
—,GGGRTGRTGRG,Girls,0,0,0,0%
"Indian Institute of Technology Delhi","Boys Hostel A",Boys,40,25,15,62.5%
"Indian Institute of Technology Delhi","Girls Hostel A",Girls,40,25,15,62.5%
"National Institute of Technology Karnataka","Boys Hostel A",Boys,40,25,15,62.5%
"National Institute of Technology Karnataka","Girls Hostel A",Girls,40,25,15,62.5%
"Jawaharlal Nehru University","Boys Hostel A",Boys,40,25,15,62.5%
"Jawaharlal Nehru University","Girls Hostel A",Girls,40,25,15,62.5%
"University of Delhi","Boys Hostel A",Boys,40,25,15,62.5%
"University of Delhi","Girls Hostel A",Girls,40,25,15,62.5%
"JMB College Test ","New Boys Hostel",Boys,0,0,0,0%
"JMB College Test ",Narmada,Girls,0,0,0,0%
"SVCE College","Abdul Kalam",Boys,0,0,0,0%
"SVCE College",Yumuna,Girls,0,0,0,0%
PCJ,"PCJ Residency",Co-ed,0,0,0,0%
SMBT,"SMBT Residency",Co-ed,0,0,0,0%
